ID,Color ID,Colors
86,"[(43, 43, 19), (33, 36, 11), (252, 172, 2), (60, 50, 15), (232, 160, 2), (70, 62, 31), (171, 144, 73), (195, 144, 14), (142, 111, 39), (191, 198, 161)]","['orange', 'orange', 'peru', 'darkgoldenrod', 'sienna']"
87,"[(31, 36, 10), (32, 37, 18), (38, 41, 14), (41, 43, 22), (25, 31, 8), (53, 54, 30), (188, 216, 175), (76, 75, 50), (134, 162, 144), (46, 76, 141)]",['darkslateblue']
88,"[(30, 35, 14), (36, 39, 20), (27, 33, 7), (36, 40, 11), (43, 44, 22), (54, 54, 30), (248, 217, 2), (77, 75, 49), (79, 66, 9), (180, 145, 18)]","['gold', 'darkgoldenrod']"
89,"[(32, 37, 17), (32, 37, 10), (26, 32, 9), (39, 42, 16), (41, 43, 23), (53, 54, 30), (70, 71, 46), (219, 239, 182), (180, 197, 137), (133, 143, 99)]",['darkkhaki']
90,"[(29, 35, 13), (34, 38, 10), (34, 38, 19), (26, 32, 7), (40, 42, 18), (44, 47, 26), (55, 56, 33), (76, 82, 57), (99, 105, 78), (123, 130, 97)]",['Small/Transparent']
91,"[(30, 35, 14), (35, 39, 20), (38, 41, 14), (26, 32, 8), (32, 37, 8), (42, 44, 23), (55, 55, 31), (117, 123, 92), (77, 73, 50), (160, 195, 136)]",['Small/Transparent']
92,"[(37, 41, 19), (30, 36, 16), (26, 33, 8), (35, 39, 10), (43, 46, 24), (45, 109, 75), (35, 63, 37), (63, 63, 39), (38, 159, 106), (71, 128, 90)]",['Small/Transparent']
93,"[(31, 36, 15), (38, 41, 20), (27, 33, 8), (37, 40, 11), (45, 45, 23), (56, 56, 32), (67, 81, 63), (87, 86, 59), (104, 96, 68), (135, 119, 78)]",['Small/Transparent']
94,"[(34, 38, 15), (28, 34, 9), (41, 43, 22), (128, 146, 119), (51, 54, 32), (143, 161, 127), (109, 134, 114), (69, 72, 51), (161, 175, 136), (75, 120, 117)]",['Small/Transparent']
95,"[(40, 43, 20), (33, 37, 17), (27, 33, 9), (35, 39, 10), (47, 49, 28), (150, 162, 128), (61, 63, 41), (82, 85, 63), (180, 194, 150), (131, 143, 111)]",['Small/Transparent']
96,"[(33, 37, 14), (39, 41, 19), (27, 33, 8), (44, 46, 27), (78, 115, 120), (101, 131, 127), (45, 60, 52), (31, 114, 142), (65, 64, 39), (134, 164, 139)]",['teal']
97,"[(35, 38, 19), (29, 35, 14), (33, 38, 9), (40, 42, 16), (26, 32, 7), (42, 44, 24), (54, 55, 31), (76, 76, 51), (200, 213, 168), (163, 169, 127)]",['Small/Transparent']
98,"[(34, 38, 19), (29, 35, 14), (34, 38, 10), (40, 42, 17), (26, 32, 7), (42, 44, 25), (55, 55, 32), (199, 213, 167), (76, 76, 51), (162, 168, 126)]",['Small/Transparent']
