Filename,MaxFeret,MinFeret,SolidArea
304_processed.jpeg,inf,inf,inf
305_processed.jpeg,inf,inf,inf
306_processed.jpeg,inf,inf,inf
307_processed.jpeg,inf,inf,inf
308_processed.jpeg,inf,inf,inf
309_processed.jpeg,inf,inf,inf
30_processed.jpeg,inf,inf,inf
310_processed.jpeg,inf,inf,inf
311_processed.jpeg,inf,inf,inf
312_processed.jpeg,inf,inf,inf
313_processed.jpeg,inf,inf,inf
314_processed.jpeg,inf,inf,inf
315_processed.jpeg,inf,inf,inf
316_processed.jpeg,inf,inf,inf
317_processed.jpeg,inf,inf,inf
318_processed.jpeg,inf,inf,inf
319_processed.jpeg,inf,inf,inf
31_processed.jpeg,inf,inf,inf
320_processed.jpeg,inf,inf,inf
321_processed.jpeg,inf,inf,inf
322_processed.jpeg,inf,inf,inf
323_processed.jpeg,inf,inf,inf
324_processed.jpeg,inf,inf,inf
325_processed.jpeg,inf,inf,inf
326_processed.jpeg,inf,inf,inf
327_processed.jpeg,inf,inf,inf
328_processed.jpeg,inf,inf,inf
329_processed.jpeg,inf,inf,inf
32_processed.jpeg,inf,inf,inf
330_processed.jpeg,inf,inf,inf
331_processed.jpeg,inf,inf,inf
332_processed.jpeg,inf,inf,inf
333_processed.jpeg,inf,inf,inf
334_processed.jpeg,inf,inf,inf
335_processed.jpeg,inf,inf,inf
336_processed.jpeg,inf,inf,inf
337_processed.jpeg,inf,inf,inf
338_processed.jpeg,inf,inf,inf
339_processed.jpeg,inf,inf,inf
33_processed.jpeg,inf,inf,inf
340_processed.jpeg,inf,inf,inf
341_processed.jpeg,inf,inf,inf
342_processed.jpeg,inf,inf,inf
343_processed.jpeg,inf,inf,inf
344_processed.jpeg,inf,inf,inf
345_processed.jpeg,inf,inf,inf
346_processed.jpeg,inf,inf,inf
347_processed.jpeg,inf,inf,inf
348_processed.jpeg,inf,inf,inf
349_processed.jpeg,inf,inf,inf
34_processed.jpeg,inf,inf,inf
350_processed.jpeg,inf,inf,inf
351_processed.jpeg,inf,inf,inf
352_processed.jpeg,inf,inf,inf
353_processed.jpeg,inf,inf,inf
354_processed.jpeg,inf,inf,inf
355_processed.jpeg,inf,inf,inf
356_processed.jpeg,inf,inf,inf
357_processed.jpeg,inf,inf,inf
358_processed.jpeg,inf,inf,inf
359_processed.jpeg,inf,inf,inf
35_processed.jpeg,inf,inf,inf
360_processed.jpeg,inf,inf,inf
361_processed.jpeg,inf,inf,inf
362_processed.jpeg,inf,inf,inf
363_processed.jpeg,inf,inf,inf
364_processed.jpeg,inf,inf,inf
365_processed.jpeg,inf,inf,inf
366_processed.jpeg,inf,inf,inf
367_processed.jpeg,inf,inf,inf
368_processed.jpeg,inf,inf,inf
369_processed.jpeg,inf,inf,inf
36_processed.jpeg,inf,inf,inf
370_processed.jpeg,inf,inf,inf
371_processed.jpeg,inf,inf,inf
372_processed.jpeg,inf,inf,inf
373_processed.jpeg,inf,inf,inf
374_processed.jpeg,inf,inf,inf
375_processed.jpeg,inf,inf,inf
376_processed.jpeg,inf,inf,inf
377_processed.jpeg,inf,inf,inf
378_processed.jpeg,inf,inf,inf
379_processed.jpeg,inf,inf,inf
37_processed.jpeg,inf,inf,inf
380_processed.jpeg,inf,inf,inf
381_processed.jpeg,inf,inf,inf
382_processed.jpeg,inf,inf,inf
383_processed.jpeg,inf,inf,inf
384_processed.jpeg,inf,inf,inf
385_processed.jpeg,inf,inf,inf
386_processed.jpeg,inf,inf,inf
387_processed.jpeg,inf,inf,inf
388_processed.jpeg,inf,inf,inf
389_processed.jpeg,inf,inf,inf
38_processed.jpeg,inf,inf,inf
390_processed.jpeg,inf,inf,inf
391_processed.jpeg,inf,inf,inf
392_processed.jpeg,inf,inf,inf
393_processed.jpeg,inf,inf,inf
394_processed.jpeg,inf,inf,inf
395_processed.jpeg,inf,inf,inf
396_processed.jpeg,inf,inf,inf
397_processed.jpeg,inf,inf,inf
398_processed.jpeg,inf,inf,inf
399_processed.jpeg,inf,inf,inf
39_processed.jpeg,inf,inf,inf
3_processed.jpeg,inf,inf,inf
400_processed.jpeg,inf,inf,inf
401_processed.jpeg,inf,inf,inf
402_processed.jpeg,inf,inf,inf
403_processed.jpeg,inf,inf,inf
404_processed.jpeg,inf,inf,inf
405_processed.jpeg,inf,inf,inf
406_processed.jpeg,inf,inf,inf
407_processed.jpeg,inf,inf,inf
408_processed.jpeg,inf,inf,inf
409_processed.jpeg,inf,inf,inf
40_processed.jpeg,inf,inf,inf
410_processed.jpeg,inf,inf,inf
411_processed.jpeg,inf,inf,inf
412_processed.jpeg,inf,inf,inf
413_processed.jpeg,inf,inf,inf
414_processed.jpeg,inf,inf,inf
415_processed.jpeg,inf,inf,inf
416_processed.jpeg,inf,inf,inf
417_processed.jpeg,inf,inf,inf
418_processed.jpeg,inf,inf,inf
419_processed.jpeg,inf,inf,inf
41_processed.jpeg,inf,inf,inf
420_processed.jpeg,inf,inf,inf
421_processed.jpeg,inf,inf,inf
422_processed.jpeg,inf,inf,inf
423_processed.jpeg,inf,inf,inf
424_processed.jpeg,inf,inf,inf
425_processed.jpeg,inf,inf,inf
426_processed.jpeg,inf,inf,inf
427_processed.jpeg,inf,inf,inf
428_processed.jpeg,inf,inf,inf
429_processed.jpeg,inf,inf,inf
42_processed.jpeg,inf,inf,inf
430_processed.jpeg,inf,inf,inf
431_processed.jpeg,inf,inf,inf
432_processed.jpeg,inf,inf,inf
433_processed.jpeg,inf,inf,inf
434_processed.jpeg,inf,inf,inf
435_processed.jpeg,inf,inf,inf
436_processed.jpeg,inf,inf,inf
437_processed.jpeg,inf,inf,inf
438_processed.jpeg,inf,inf,inf
439_processed.jpeg,inf,inf,inf
43_processed.jpeg,inf,inf,inf
440_processed.jpeg,inf,inf,inf
441_processed.jpeg,inf,inf,inf
442_processed.jpeg,inf,inf,inf
443_processed.jpeg,inf,inf,inf
444_processed.jpeg,inf,inf,inf
445_processed.jpeg,inf,inf,inf
446_processed.jpeg,inf,inf,inf
447_processed.jpeg,inf,inf,inf
448_processed.jpeg,inf,inf,inf
449_processed.jpeg,inf,inf,inf
44_processed.jpeg,inf,inf,inf
450_processed.jpeg,inf,inf,inf
451_processed.jpeg,inf,inf,inf
452_processed.jpeg,inf,inf,inf
453_processed.jpeg,inf,inf,inf
454_processed.jpeg,inf,inf,inf
455_processed.jpeg,inf,inf,inf
456_processed.jpeg,inf,inf,inf
457_processed.jpeg,inf,inf,inf
458_processed.jpeg,inf,inf,inf
459_processed.jpeg,inf,inf,inf
45_processed.jpeg,inf,inf,inf
460_processed.jpeg,inf,inf,inf
461_processed.jpeg,inf,inf,inf
462_processed.jpeg,inf,inf,inf
463_processed.jpeg,inf,inf,inf
464_processed.jpeg,inf,inf,inf
465_processed.jpeg,inf,inf,inf
466_processed.jpeg,inf,inf,inf
467_processed.jpeg,inf,inf,inf
468_processed.jpeg,inf,inf,inf
469_processed.jpeg,inf,inf,inf
46_processed.jpeg,inf,inf,inf
470_processed.jpeg,inf,inf,inf
471_processed.jpeg,inf,inf,inf
472_processed.jpeg,inf,inf,inf
473_processed.jpeg,inf,inf,inf
474_processed.jpeg,inf,inf,inf
475_processed.jpeg,inf,inf,inf
476_processed.jpeg,inf,inf,inf
477_processed.jpeg,inf,inf,inf
478_processed.jpeg,inf,inf,inf
47_processed.jpeg,inf,inf,inf
480_processed.jpeg,inf,inf,inf
481_processed.jpeg,inf,inf,inf
482_processed.jpeg,inf,inf,inf
483_processed.jpeg,inf,inf,inf
484_processed.jpeg,inf,inf,inf
485_processed.jpeg,inf,inf,inf
486_processed.jpeg,inf,inf,inf
487_processed.jpeg,inf,inf,inf
488_processed.jpeg,inf,inf,inf
489_processed.jpeg,inf,inf,inf
48_processed.jpeg,inf,inf,inf
490_processed.jpeg,inf,inf,inf
491_processed.jpeg,inf,inf,inf
492_processed.jpeg,inf,inf,inf
493_processed.jpeg,inf,inf,inf
494_processed.jpeg,inf,inf,inf
495_processed.jpeg,inf,inf,inf
496_processed.jpeg,inf,inf,inf
497_processed.jpeg,inf,inf,inf
498_processed.jpeg,inf,inf,inf
499_processed.jpeg,inf,inf,inf
49_processed.jpeg,inf,inf,inf
4_processed.jpeg,inf,inf,inf
500_processed.jpeg,inf,inf,inf
501_processed.jpeg,inf,inf,inf
502_processed.jpeg,inf,inf,inf
503_processed.jpeg,inf,inf,inf
504_processed.jpeg,inf,inf,inf
505_processed.jpeg,inf,inf,inf
506_processed.jpeg,inf,inf,inf
507_processed.jpeg,inf,inf,inf
508_processed.jpeg,inf,inf,inf
509_processed.jpeg,inf,inf,inf
50_processed.jpeg,inf,inf,inf
510_processed.jpeg,inf,inf,inf
511_processed.jpeg,inf,inf,inf
512_processed.jpeg,inf,inf,inf
513_processed.jpeg,inf,inf,inf
514_processed.jpeg,inf,inf,inf
515_processed.jpeg,inf,inf,inf
516_processed.jpeg,inf,inf,inf
517_processed.jpeg,inf,inf,inf
518_processed.jpeg,inf,inf,inf
519_processed.jpeg,inf,inf,inf
51_processed.jpeg,inf,inf,inf
520_processed.jpeg,inf,inf,inf
521_processed.jpeg,inf,inf,inf
522_processed.jpeg,inf,inf,inf
523_processed.jpeg,inf,inf,inf
524_processed.jpeg,inf,inf,inf
525_processed.jpeg,inf,inf,inf
526_processed.jpeg,inf,inf,inf
527_processed.jpeg,inf,inf,inf
528_processed.jpeg,inf,inf,inf
529_processed.jpeg,inf,inf,inf
52_processed.jpeg,inf,inf,inf
530_processed.jpeg,inf,inf,inf
531_processed.jpeg,inf,inf,inf
532_processed.jpeg,inf,inf,inf
533_processed.jpeg,inf,inf,inf
534_processed.jpeg,inf,inf,inf
536_processed.jpeg,inf,inf,inf
537_processed.jpeg,inf,inf,inf
538_processed.jpeg,inf,inf,inf
539_processed.jpeg,inf,inf,inf
53_processed.jpeg,inf,inf,inf
540_processed.jpeg,inf,inf,inf
541_processed.jpeg,inf,inf,inf
542_processed.jpeg,inf,inf,inf
543_processed.jpeg,inf,inf,inf
544_processed.jpeg,inf,inf,inf
545_processed.jpeg,inf,inf,inf
546_processed.jpeg,inf,inf,inf
547_processed.jpeg,inf,inf,inf
548_processed.jpeg,inf,inf,inf
549_processed.jpeg,inf,inf,inf
54_processed.jpeg,inf,inf,inf
550_processed.jpeg,inf,inf,inf
551_processed.jpeg,inf,inf,inf
552_processed.jpeg,inf,inf,inf
553_processed.jpeg,inf,inf,inf
554_processed.jpeg,inf,inf,inf
555_processed.jpeg,inf,inf,inf
556_processed.jpeg,inf,inf,inf
557_processed.jpeg,inf,inf,inf
558_processed.jpeg,inf,inf,inf
559_processed.jpeg,inf,inf,inf
55_processed.jpeg,inf,inf,inf
560_processed.jpeg,inf,inf,inf
561_processed.jpeg,inf,inf,inf
562_processed.jpeg,inf,inf,inf
563_processed.jpeg,inf,inf,inf
564_processed.jpeg,inf,inf,inf
565_processed.jpeg,inf,inf,inf
566_processed.jpeg,inf,inf,inf
567_processed.jpeg,inf,inf,inf
568_processed.jpeg,inf,inf,inf
569_processed.jpeg,inf,inf,inf
56_processed.jpeg,inf,inf,inf
570_processed.jpeg,inf,inf,inf
571_processed.jpeg,inf,inf,inf
572_processed.jpeg,inf,inf,inf
573_processed.jpeg,inf,inf,inf
574_processed.jpeg,inf,inf,inf
575_processed.jpeg,inf,inf,inf
576_processed.jpeg,inf,inf,inf
577_processed.jpeg,inf,inf,inf
578_processed.jpeg,inf,inf,inf
579_processed.jpeg,inf,inf,inf
57_processed.jpeg,inf,inf,inf
580_processed.jpeg,inf,inf,inf
581_processed.jpeg,inf,inf,inf
582_processed.jpeg,inf,inf,inf
583_processed.jpeg,inf,inf,inf
584_processed.jpeg,inf,inf,inf
585_processed.jpeg,inf,inf,inf
586_processed.jpeg,inf,inf,inf
587_processed.jpeg,inf,inf,inf
588_processed.jpeg,inf,inf,inf
589_processed.jpeg,inf,inf,inf
58_processed.jpeg,inf,inf,inf
590_processed.jpeg,inf,inf,inf
591_processed.jpeg,inf,inf,inf
592_processed.jpeg,inf,inf,inf
593_processed.jpeg,inf,inf,inf
594_processed.jpeg,inf,inf,inf
595_processed.jpeg,inf,inf,inf
596_processed.jpeg,inf,inf,inf
597_processed.jpeg,inf,inf,inf
598_processed.jpeg,inf,inf,inf
599_processed.jpeg,inf,inf,inf
59_processed.jpeg,inf,inf,inf
5_processed.jpeg,inf,inf,inf
600_processed.jpeg,inf,inf,inf
601_processed.jpeg,inf,inf,inf
602_processed.jpeg,inf,inf,inf
603_processed.jpeg,inf,inf,inf
604_processed.jpeg,inf,inf,inf
605_processed.jpeg,inf,inf,inf
606_processed.jpeg,inf,inf,inf
607_processed.jpeg,inf,inf,inf
608_processed.jpeg,inf,inf,inf
609_processed.jpeg,inf,inf,inf
60_processed.jpeg,inf,inf,inf
610_processed.jpeg,inf,inf,inf
611_processed.jpeg,inf,inf,inf
612_processed.jpeg,inf,inf,inf
613_processed.jpeg,inf,inf,inf
614_processed.jpeg,inf,inf,inf
615_processed.jpeg,inf,inf,inf
616_processed.jpeg,inf,inf,inf
617_processed.jpeg,inf,inf,inf
618_processed.jpeg,inf,inf,inf
619_processed.jpeg,inf,inf,inf
61_processed.jpeg,inf,inf,inf
620_processed.jpeg,inf,inf,inf
621_processed.jpeg,inf,inf,inf
622_processed.jpeg,inf,inf,inf
623_processed.jpeg,inf,inf,inf
624_processed.jpeg,inf,inf,inf
625_processed.jpeg,inf,inf,inf
626_processed.jpeg,inf,inf,inf
627_processed.jpeg,inf,inf,inf
628_processed.jpeg,inf,inf,inf
629_processed.jpeg,inf,inf,inf
62_processed.jpeg,inf,inf,inf
630_processed.jpeg,inf,inf,inf
631_processed.jpeg,inf,inf,inf
632_processed.jpeg,inf,inf,inf
633_processed.jpeg,inf,inf,inf
634_processed.jpeg,inf,inf,inf
635_processed.jpeg,inf,inf,inf
636_processed.jpeg,inf,inf,inf
637_processed.jpeg,inf,inf,inf
638_processed.jpeg,inf,inf,inf
639_processed.jpeg,inf,inf,inf
63_processed.jpeg,inf,inf,inf
640_processed.jpeg,inf,inf,inf
